epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,1756.03,0.29239,0.34086,0.25387,0.78477,0,0.99288,0.99391,0.99487,0.98111,0.9929,0.9939,0.99487,0.91894,0.22869,0.34033,0.14523,0.7581,0,0.00179225,0.00179225,0.00179225
44,1797,0.28928,0.34069,0.25038,0.78433,0,0.99511,0.99444,0.99489,0.98126,0.99516,0.99449,0.99489,0.91732,0.23073,0.33865,0.14265,0.75747,0,0.00178263,0.00178263,0.00178263
45,1837.63,0.28954,0.33924,0.24851,0.784,0,0.99437,0.99455,0.99483,0.97949,0.99442,0.9946,0.99483,0.91801,0.23797,0.34494,0.1437,0.75954,0,0.00177281,0.00177281,0.00177281
46,1878.45,0.28885,0.3396,0.24531,0.78433,0,0.99517,0.99484,0.99488,0.98215,0.99527,0.99494,0.99489,0.91938,0.22621,0.33927,0.1388,0.75749,0,0.0017628,0.0017628,0.0017628
47,1919.32,0.28889,0.33834,0.24632,0.78456,0,0.99407,0.99508,0.99486,0.98141,0.99407,0.99508,0.99486,0.92018,0.22876,0.33616,0.13987,0.75906,0,0.00175261,0.00175261,0.00175261
48,1960.13,0.28924,0.33874,0.2448,0.78418,0,0.99476,0.99334,0.99488,0.98255,0.99476,0.99334,0.99488,0.91867,0.22226,0.33422,0.13884,0.75726,0,0.00174223,0.00174223,0.00174223
49,2000.89,0.28783,0.33691,0.24594,0.78397,0,0.99582,0.99434,0.9949,0.98054,0.99579,0.99449,0.9949,0.91767,0.23273,0.34026,0.13812,0.75804,0,0.00173168,0.00173168,0.00173168
50,2041.76,0.2885,0.33629,0.24069,0.78373,0,0.99519,0.99439,0.99492,0.98073,0.99524,0.99444,0.99492,0.91912,0.23097,0.34402,0.13834,0.75792,0,0.00172095,0.00172095,0.00172095
51,2082.7,0.2865,0.33451,0.24529,0.78434,0,0.99502,0.99488,0.99492,0.9812,0.99534,0.99465,0.99492,0.91712,0.23217,0.34303,0.13982,0.75767,0,0.00171004,0.00171004,0.00171004
52,2123.42,0.28662,0.33667,0.24116,0.78247,0,0.9959,0.99426,0.99489,0.98162,0.99595,0.99431,0.99489,0.91856,0.22813,0.34764,0.13495,0.75675,0,0.00169895,0.00169895,0.00169895
53,2164.25,0.28837,0.33809,0.23949,0.78369,0,0.99521,0.99478,0.9949,0.9819,0.99529,0.9948,0.9949,0.91961,0.22871,0.34754,0.13567,0.75718,0,0.0016877,0.0016877,0.0016877
54,2204.81,0.28694,0.33534,0.24374,0.78367,0,0.99667,0.9961,0.99487,0.98066,0.99667,0.9961,0.99487,0.91898,0.23215,0.34537,0.1346,0.75778,0,0.00167628,0.00167628,0.00167628
55,2245.46,0.28831,0.33823,0.23946,0.78401,0,0.99577,0.9957,0.99492,0.98287,0.99582,0.99575,0.99492,0.92015,0.2243,0.33925,0.13265,0.75674,0,0.0016647,0.0016647,0.0016647
56,2286.29,0.28751,0.33342,0.23736,0.78411,0,0.99557,0.99496,0.99493,0.98257,0.99558,0.99515,0.99493,0.91984,0.22492,0.34758,0.13292,0.75662,0,0.00165295,0.00165295,0.00165295
57,2327.32,0.28792,0.33495,0.23837,0.78319,0,0.99649,0.99527,0.99494,0.98145,0.99644,0.99522,0.99494,0.91999,0.22937,0.34247,0.13246,0.75717,0,0.00164105,0.00164105,0.00164105
58,2368.3,0.28636,0.33364,0.23555,0.78349,0,0.99543,0.9948,0.99493,0.98125,0.99534,0.99468,0.99493,0.91811,0.23093,0.35198,0.13381,0.75762,0,0.00162899,0.00162899,0.00162899
59,2409.12,0.28372,0.33051,0.23395,0.78266,0,0.99634,0.9956,0.99492,0.98096,0.9966,0.99528,0.99492,0.91766,0.23343,0.34868,0.13162,0.75712,0,0.00161678,0.00161678,0.00161678
60,2449.84,0.28393,0.33195,0.23446,0.78276,0,0.9962,0.99574,0.99492,0.98221,0.99632,0.99562,0.99492,0.91931,0.22797,0.34548,0.13124,0.75628,0,0.00160442,0.00160442,0.00160442
61,2490.63,0.28572,0.32847,0.23424,0.78278,0,0.99579,0.99622,0.99492,0.98272,0.99604,0.99602,0.99492,0.92111,0.22513,0.34409,0.12996,0.75566,0,0.00159191,0.00159191,0.00159191
