epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,3310.02,0.23096,0.30225,0.21235,0.79414,0,0.99895,0.99657,0.99499,0.99118,0.9989,0.99651,0.99499,0.96326,0.1668,0.25082,0.10148,0.75965,0,0.00180169,0.00180169,0.00180169
43,3389.04,0.23165,0.30587,0.21226,0.79615,0,0.99861,0.99693,0.99498,0.99104,0.99833,0.99714,0.99498,0.96353,0.16597,0.2509,0.10039,0.75954,0,0.00179225,0.00179225,0.00179225
44,3467.99,0.23184,0.30298,0.21184,0.79494,0,0.99865,0.99695,0.99498,0.99131,0.99859,0.99689,0.99498,0.96383,0.16414,0.24912,0.09981,0.75949,0,0.00178263,0.00178263,0.00178263
45,3546.92,0.23035,0.30342,0.21065,0.7944,0,0.99824,0.99733,0.99498,0.99123,0.99819,0.99727,0.99498,0.96405,0.16438,0.24958,0.09952,0.75947,0,0.00177281,0.00177281,0.00177281
46,3625.88,0.23012,0.30129,0.20969,0.79475,0,0.99869,0.99701,0.99499,0.99133,0.99863,0.99695,0.99498,0.96416,0.16422,0.24957,0.09925,0.75945,0,0.0017628,0.0017628,0.0017628
47,3705.03,0.23001,0.29927,0.20707,0.79395,0,0.99869,0.99715,0.99498,0.99131,0.99864,0.9971,0.99498,0.96426,0.16427,0.2488,0.09893,0.75937,0,0.00175261,0.00175261,0.00175261
48,3784.1,0.23004,0.29919,0.20744,0.7944,0,0.99859,0.99717,0.99499,0.99107,0.99853,0.99711,0.99499,0.96428,0.16406,0.2484,0.09866,0.75928,0,0.00174223,0.00174223,0.00174223
49,3862.84,0.22708,0.29751,0.20526,0.79396,0,0.99925,0.99674,0.99499,0.99142,0.99919,0.99668,0.99499,0.96448,0.16392,0.24806,0.09813,0.75923,0,0.00173168,0.00173168,0.00173168
50,3941.83,0.22735,0.2991,0.2065,0.79403,0,0.99918,0.99684,0.99499,0.99155,0.99912,0.99678,0.99499,0.96461,0.16381,0.24811,0.09763,0.75923,0,0.00172095,0.00172095,0.00172095
51,4020.35,0.22667,0.2953,0.20393,0.79366,0,0.99896,0.99702,0.99499,0.99146,0.9989,0.99696,0.99499,0.9642,0.16383,0.24832,0.09719,0.75921,0,0.00171004,0.00171004,0.00171004
52,4099.5,0.22579,0.29875,0.20377,0.79421,0,0.99901,0.99702,0.99499,0.99136,0.99895,0.99697,0.99499,0.96415,0.16339,0.24798,0.09682,0.75915,0,0.00169895,0.00169895,0.00169895
53,4178.5,0.2278,0.2962,0.20444,0.79405,0,0.99898,0.9972,0.99499,0.99135,0.99892,0.99714,0.99499,0.96451,0.16358,0.24792,0.09662,0.75913,0,0.0016877,0.0016877,0.0016877
54,4257.8,0.22673,0.29664,0.20314,0.7941,0,0.99901,0.99712,0.99499,0.99137,0.99895,0.99706,0.99499,0.96465,0.16333,0.24779,0.09639,0.75909,0,0.00167628,0.00167628,0.00167628
55,4336.62,0.2259,0.29414,0.20071,0.79394,0,0.99899,0.99722,0.99499,0.99146,0.99894,0.99716,0.99499,0.9643,0.16324,0.24752,0.09619,0.75905,0,0.0016647,0.0016647,0.0016647
56,4415.72,0.22502,0.29841,0.20027,0.79369,0,0.99914,0.99704,0.99499,0.99137,0.99875,0.99732,0.99499,0.96442,0.16331,0.24776,0.09603,0.75898,0,0.00165295,0.00165295,0.00165295
57,4494.79,0.22392,0.29206,0.19822,0.79294,0,0.99909,0.99715,0.99499,0.99154,0.99887,0.99721,0.99499,0.96448,0.16321,0.24771,0.0959,0.75895,0,0.00164105,0.00164105,0.00164105
58,4573.37,0.22396,0.29496,0.1994,0.79298,0,0.99922,0.99704,0.99499,0.99155,0.99894,0.99716,0.99499,0.96442,0.16302,0.24727,0.09572,0.75891,0,0.00162899,0.00162899,0.00162899
