epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,101176,0.40557,0.62345,0.32617,0.82467,0,0.9862,0.97304,0.98989,0.83766,0.98029,0.96725,0.98418,0.7978,0.63139,1.01806,0.31085,0.89673,0,0.000190924,0.000190924,0.000190924
39,101239,0.38671,0.6414,0.31581,0.82591,0,0.98655,0.97692,0.99114,0.83274,0.98076,0.97104,0.97979,0.80364,0.63834,1.0099,0.31284,0.89622,0,0.000176786,0.000176786,0.000176786
40,101266,0.38054,0.60669,0.30782,0.82008,0,0.97189,0.96215,0.98284,0.82375,0.96232,0.95227,0.97383,0.80157,0.65355,1.03888,0.35412,0.90396,0,0.000162649,0.000162649,0.000162649
41,101538,0.34037,0.53282,0.25532,0.80732,0,0.98175,0.97157,0.98928,0.82598,0.97165,0.96224,0.98012,0.80508,0.6744,1.05592,0.33304,0.91491,0,0.000148512,0.000148512,0.000148512
42,101540,0.32834,0.52509,0.24969,0.80262,0,0.98239,0.97119,0.99073,0.82566,0.97188,0.96161,0.98158,0.80346,0.6844,1.01968,0.3336,0.91249,0,0.000134375,0.000134375,0.000134375
43,101543,0.31872,0.51628,0.24638,0.79466,0,0.9808,0.96121,0.98517,0.83636,0.97083,0.95154,0.97949,0.81142,0.63411,1.03151,0.32445,0.9053,0,0.000120238,0.000120238,0.000120238
44,101546,0.31001,0.51581,0.2371,0.79853,0,0.98293,0.96577,0.98527,0.83537,0.9733,0.95589,0.97938,0.80488,0.63342,1.03772,0.32506,0.90619,0,0.0001061,0.0001061,0.0001061
45,101548,0.31124,0.49891,0.23553,0.79741,0,0.98607,0.96625,0.9902,0.83313,0.97594,0.95657,0.97998,0.8086,0.64624,1.05918,0.31947,0.90922,0,9.19632e-05,9.19632e-05,9.19632e-05
46,101551,0.30285,0.49124,0.22984,0.78842,0,0.99024,0.97287,0.98569,0.83999,0.98034,0.96304,0.97979,0.80615,0.62819,1.09419,0.31141,0.90671,0,7.7826e-05,7.7826e-05,7.7826e-05
47,101554,0.30073,0.47453,0.22795,0.79895,0,0.98578,0.98231,0.99059,0.83288,0.97606,0.97242,0.98037,0.80762,0.64782,1.07786,0.30656,0.90596,0,6.36888e-05,6.36888e-05,6.36888e-05
48,101556,0.29143,0.45766,0.22665,0.79012,0,0.98919,0.97944,0.98584,0.83705,0.97939,0.96962,0.98085,0.79801,0.62681,1.09052,0.30165,0.90497,0,4.95516e-05,4.95516e-05,4.95516e-05
49,101559,0.29095,0.47255,0.22515,0.7948,0,0.99183,0.97761,0.986,0.83387,0.982,0.96782,0.98124,0.81156,0.64555,1.08447,0.30366,0.90536,0,3.54144e-05,3.54144e-05,3.54144e-05
50,101561,0.28074,0.46919,0.21779,0.78843,0,0.98917,0.97833,0.98636,0.83993,0.97808,0.97062,0.9815,0.80413,0.63461,1.08828,0.30304,0.90428,0,2.12772e-05,2.12772e-05,2.12772e-05
